State,Median center-based price: 2018,Median home-based price: 2018,Median price: 2018,Median center-based price: 2023,Median home-based price: 2023,Median price: 2023
Alabama,6415,5370,5892,7551,6321,6936
Alaska,11702,8115,9908,13773,9552,11663
Arizona,9094,5550,7322,10704,6532,8618
Arkansas,5793,4789,5291,6819,5637,6228
California,12085,10451,11268,14225,12301,13263
Connecticut,14717,10727,12722,17322,12626,14974
Delaware,9864,7484,8674,11610,8809,10210
Florida,7286,6548,6917,8576,7707,8142
Georgia,7230,6173,6702,8510,7266,7888
Hawaii,14880,8603,11741,17514,10126,13820
Idaho,6573,5644,6108,7737,6643,7190
Illinois,10540,7715,9127,12406,9081,10743
Iowa,8645,6044,7344,10176,7114,8645
Kansas,6575,5097,5836,7739,5999,6869
Kentucky,6422,5706,6064,7559,6717,7138
Louisiana,6377,4886,5632,7506,5751,6629
Maine,9403,7666,8534,11068,9023,10045
Maryland,9955,8569,9262,11718,10086,10902
Massachusetts,16013,11656,13835,18849,13719,16284
Michigan,9512,6604,8058,11196,7774,9485
Minnesota,12506,7952,10229,14720,9360,12040
Mississippi,3911,3352,3631,4603,3945,4274
Missouri,9020,6521,7771,10617,7676,9146
Montana,7754,6336,7045,9127,7458,8292
Nebraska,9067,6710,7889,10672,7898,9285
Nevada,11552,9623,10587,13597,11326,12462
New Hampshire,10616,8921,9769,12496,10500,11498
New Jersey,10927,8449,9688,12861,9945,11403
New York,14277,10342,12309,16805,12173,14489
North Carolina,7944,7325,7635,9351,8622,8986
North Dakota,8532,6652,7592,10043,7830,8936
Ohio,9559,7647,8603,11251,9000,10126
Oklahoma,7449,6479,6964,8768,7627,8197
Oregon,11726,6861,9294,13802,8076,10939
Pennsylvania,9794,7887,8840,11528,9283,10405
Rhode Island,11470,8689,10079,13501,10227,11864
South Carolina,7369,5565,6467,8674,6551,7612
South Dakota,6141,4792,5466,7228,5641,6434
Tennessee,7113,6005,6559,8372,7068,7720
Texas,7527,6900,7214,8860,8122,8491
Utah,7724,6859,7292,9092,8074,8583
Vermont,11476,8829,10152,13508,10392,11950
Virginia,10372,7920,9146,12208,9322,10765
Washington,12206,10099,11152,14367,11887,13127
West Virginia,6851,5583,6217,8064,6571,7318
Wisconsin,11205,8811,10008,13189,10371,11780
Wyoming,6823,6794,6808,8030,7996,8013
